"","RKI","LGL","Inzidenz=35","",""
"8.9.","51,8","51,81","35"
"9.9.","58,0","57,99","35"
"10.9.","58,3","58,33","35"
"11.9.","60,7","","35"
"12.9.","59,3","59,27","35"
"13.9.","64,4","64,44","35"
"14.9.","65,8","65,78","35"
"15.9.","64,3","66,25","35"
"16.9.","62,1","63,30","35"
"17.9.","88,2","88,43","35"
"18.9.","92,5","","35"
"19.9.","91,5","91,59","35"
"20.9.","96,1","96,22","35"
"21.9.","101,5","101,60","35"
"22.9.","96,2","96,16","35"
"23.9.","86,6","86,61","35"
"24.9.","102,2","102,20","35"
"26.9.","94,7","94,68","35"
"27.9.","101,1","101,13","35"
"28.9.","93,6","93,60","35"
"29.9.","92,9","92,93","35"
"30.9.","89,0","89,03","35"
"1.10.","89,6","89,64","35"
"2.10.","87,0","","35"
"3.10.","84,7","84,73","35"
"4.10.","85,7","85,67","35"
"5.10.","84,9","84,93","35"
"6.10.","79,8","79,83","35"
"7.10.","87,1","89,03","35"
"8.10.","100,8","102,00","35"
"9.10.","96,5","","35"
"10.10.","98,0","99,11","35"
"11.10","101,3","102,20","35"
"12.10.","91,0","91,32","35"
"13.10.","86,0","86,08","35"
"14.10.","91,9","91,86","35"
"15.10.","87,5","87,49","35"
"16.10.","89,5","","35"
"17.10.","91,1","91,18","35"
"18.10.","94,9","94,95","35"
"19.10.","109,5","109,46","35"
"20.10.","114,0","114,03","35"
"21.10.","112,8","112,75","35"
"22.10.","120,7","120,75","35"
"23.10.","113,6","","35"
"24.10.","115,6","115,58","35"
"25.10.","115,6","115,64","35"
"26.10.","","119,67","35"
"27.10.","125,0","124,98","35"
"28.10.","140,2","140,24","35"
"29.10.","145,2","145,21","35"
"31.10.","","139,83","35"
"1.11.","139,8","139,83","35"
"2.11.","131,6","131,57","35"
"3.11.","124,3","124,31","35"
"4.11.","119,6","119,61","35"
"5.11.","111,2","111,21","35"
"6.11.","96,4","","35"
"7.11.","98,6","","35"
"8.11.","98,2","98,17","35"
"9.11.","104,6","104,56","35"
